dataset_name	Encoder	validation_type	sample_type	train_shape	test_shape	mean_target_before_sampling_train	mean_target_after_sampling_train	mean_target_test	num_cat_cols	train_score	val_score	test_score	time	features_before_encoding	features_after_encoding	avg_tress_number	train_prop_size
online_shoppers_intention	CatBoostEncoder	Single	None	246	7398	0.044715447154471545	0.044715447154471545	0.19059205190592052	8	0.9979240543735225	0.9347517730496454	0.6831146335223639	1.0262558460235596	17	17	51	0.05
online_shoppers_intention	CatBoostEncoder	Single	None	493	7398	0.058823529411764705	0.058823529411764705	0.19059205190592052	8	0.9955786138319415	0.9892114695340503	0.8519786025952614	1.0162837505340576	17	17	45	0.1
online_shoppers_intention	CatBoostEncoder	Single	None	1233	7398	0.07785888077858881	0.07785888077858881	0.19059205190592052	8	0.9952127797262911	0.9864187421951586	0.838075915424229	1.075124979019165	17	17	24	0.25
online_shoppers_intention	CatBoostEncoder	Single	None	2466	7398	0.09570154095701541	0.09570154095701541	0.19059205190592052	8	0.9952906216287574	0.9806958225996247	0.8041137239017041	1.148928165435791	17	17	30	0.5
online_shoppers_intention	CatBoostEncoder	Single	None	3699	7398	0.09921600432549338	0.09921600432549338	0.19059205190592052	8	0.996803821303821	0.9806372206977485	0.8477581048622067	1.2895524501800537	17	17	32	0.75
online_shoppers_intention	CatBoostEncoder	Single	gan	258	7398	0.044715447154471545	0.04263565891472868	0.19059205190592052	8	0.9835715445487019	0.9886394557823129	0.8348152569915244	0.866682767868042	17	17	7	0.05
online_shoppers_intention	CatBoostEncoder	Single	None	246	7398	0.044715447154471545	0.044715447154471545	0.19059205190592052	8	0.9979240543735225	0.9347517730496454	0.6831146335223639	1.0239381790161133	17	17	51	0.05
online_shoppers_intention	CatBoostEncoder	Single	None	493	7398	0.058823529411764705	0.058823529411764705	0.19059205190592052	8	0.9955786138319415	0.9892114695340503	0.8519786025952614	1.0063097476959229	17	17	45	0.1
online_shoppers_intention	CatBoostEncoder	Single	None	1233	7398	0.07785888077858881	0.07785888077858881	0.19059205190592052	8	0.9952127797262911	0.9864187421951586	0.838075915424229	1.0880913734436035	17	17	24	0.25
online_shoppers_intention	CatBoostEncoder	Single	None	2466	7398	0.09570154095701541	0.09570154095701541	0.19059205190592052	8	0.9952906216287574	0.9806958225996247	0.8041137239017041	1.1339678764343262	17	17	30	0.5
online_shoppers_intention	CatBoostEncoder	Single	None	3699	7398	0.09921600432549338	0.09921600432549338	0.19059205190592052	8	0.996803821303821	0.9806372206977485	0.8477581048622067	1.2596323490142822	17	17	32	0.75
online_shoppers_intention	CatBoostEncoder	Single	gan	258	7398	0.044715447154471545	0.04263565891472868	0.19059205190592052	8	0.9862584531154752	0.9282244897959184	0.671935537742151	0.8976001739501953	17	17	29	0.05
online_shoppers_intention	CatBoostEncoder	Single	None	246	7398	0.044715447154471545	0.044715447154471545	0.19059205190592052	8	0.9979240543735225	0.9347517730496454	0.6831146335223639	0.9823739528656006	17	17	51	0.05
online_shoppers_intention	CatBoostEncoder	Single	None	493	7398	0.058823529411764705	0.058823529411764705	0.19059205190592052	8	0.9955786138319415	0.9892114695340503	0.8519786025952614	1.0162832736968994	17	17	45	0.1
online_shoppers_intention	CatBoostEncoder	Single	None	1233	7398	0.07785888077858881	0.07785888077858881	0.19059205190592052	8	0.9952127797262911	0.9864187421951586	0.838075915424229	1.1000587940216064	17	17	24	0.25
online_shoppers_intention	CatBoostEncoder	Single	None	2466	7398	0.09570154095701541	0.09570154095701541	0.19059205190592052	8	0.9952906216287574	0.9806958225996247	0.8041137239017041	1.1489284038543701	17	17	30	0.5
online_shoppers_intention	CatBoostEncoder	Single	None	3699	7398	0.09921600432549338	0.09921600432549338	0.19059205190592052	8	0.996803821303821	0.9806372206977485	0.8477581048622067	1.3244595527648926	17	17	32	0.75
online_shoppers_intention	CatBoostEncoder	Single	gan	258	7398	0.044715447154471545	0.04263565891472868	0.19059205190592052	8	0.9806140223441406	0.9406394557823129	0.8411707575908318	0.8696753978729248	17	17	7	0.05
BankruptcyPrediction	CatBoostEncoder	Single	None	136	4092	0.11764705882352941	0.11764705882352941	0.015151515151515152	2	0.9919003739316239	0.9625	0.9144620987753141	0.4697284698486328	95	95	18	0.05
BankruptcyPrediction	CatBoostEncoder	Single	None	272	4092	0.09926470588235294	0.09926470588235294	0.015151515151515152	2	0.99094442971994	0.972312925170068	0.8997738733690868	0.47373294830322266	95	95	14	0.1
BankruptcyPrediction	CatBoostEncoder	Single	None	681	4092	0.05286343612334802	0.05286343612334802	0.015151515151515152	2	0.9989574979951884	0.972452934662237	0.908592811974706	1.00032639503479	95	95	55	0.25
BankruptcyPrediction	CatBoostEncoder	Single	None	1363	4092	0.04842259721203228	0.04842259721203228	0.015151515151515152	2	0.9974233405644872	0.9466743146962926	0.9238733690866885	1.5039801597595215	95	95	41	0.5
BankruptcyPrediction	CatBoostEncoder	Single	None	2045	4092	0.060146699266503664	0.060146699266503664	0.015151515151515152	2	1.0	0.9366241883116884	0.952797566637317	2.6349563598632812	95	95	93	0.75
BankruptcyPrediction	CatBoostEncoder	Single	gan	142	4092	0.11764705882352941	0.11267605633802817	0.015151515151515152	2	0.9936123381568926	0.9555384615384617	0.9238113343472344	0.44580793380737305	95	95	12	0.05
BankruptcyPrediction	CatBoostEncoder	Single	None	136	4092	0.11764705882352941	0.11764705882352941	0.015151515151515152	2	0.9919003739316239	0.9625	0.9144620987753141	0.4707763195037842	95	95	18	0.05
BankruptcyPrediction	CatBoostEncoder	Single	None	272	4092	0.09926470588235294	0.09926470588235294	0.015151515151515152	2	0.99094442971994	0.972312925170068	0.8997738733690868	0.4667525291442871	95	95	14	0.1
BankruptcyPrediction	CatBoostEncoder	Single	None	681	4092	0.05286343612334802	0.05286343612334802	0.015151515151515152	2	0.9989574979951884	0.972452934662237	0.908592811974706	0.9763898849487305	95	95	55	0.25
BankruptcyPrediction	CatBoostEncoder	Single	None	1363	4092	0.04842259721203228	0.04842259721203228	0.015151515151515152	2	0.9974233405644872	0.9466743146962926	0.9238733690866885	1.758301019668579	95	95	41	0.5
BankruptcyPrediction	CatBoostEncoder	Single	None	2045	4092	0.060146699266503664	0.060146699266503664	0.015151515151515152	2	1.0	0.9366241883116884	0.952797566637317	2.318801164627075	95	95	93	0.75
BankruptcyPrediction	CatBoostEncoder	Single	gan	142	4092	0.11764705882352941	0.11267605633802817	0.015151515151515152	2	0.9936123381568926	0.9555384615384617	0.9238113343472344	0.4089071750640869	95	95	12	0.05
BankruptcyPrediction	CatBoostEncoder	Single	None	136	4092	0.11764705882352941	0.11764705882352941	0.015151515151515152	2	0.9919003739316239	0.9625	0.9144620987753141	0.663520336151123	95	95	18	0.05
BankruptcyPrediction	CatBoostEncoder	Single	None	272	4092	0.09926470588235294	0.09926470588235294	0.015151515151515152	2	0.99094442971994	0.972312925170068	0.8997738733690868	0.6111798286437988	95	95	14	0.1
BankruptcyPrediction	CatBoostEncoder	Single	None	681	4092	0.05286343612334802	0.05286343612334802	0.015151515151515152	2	0.9989574979951884	0.972452934662237	0.908592811974706	1.2463321685791016	95	95	55	0.25
BankruptcyPrediction	CatBoostEncoder	Single	None	1363	4092	0.04842259721203228	0.04842259721203228	0.015151515151515152	2	0.9974233405644872	0.9466743146962926	0.9238733690866885	1.7536556720733643	95	95	41	0.5
